,Job Profile,Company,ExperienceRequired,AvgSalary,MinSalary,MaxSalary
4069,Key Account Manager,sopra-steria,5-10,"4,29,535",2.3,6.0
4070,DPT.Manager,big-bazaar,0-4,"2,66,828",,
4071,Equity Dealer,big-bazaar,1-5,"2,97,937",,
4072,Equity Advisor,big-bazaar,3-9,"6,46,001",4.0,8.1
4073,Cluster Manager,big-bazaar,1-3,"4,22,467",2.9,5.7
4074,Management Trainee,big-bazaar,0-10,"4,30,949",2.0,6.1
4075,Executive Accountant,big-bazaar,0-10,"3,39,112",1.9,5.1
4076,Customer Service Executive,big-bazaar,1-6,"2,87,538",1.5,4.1
4077,Operations Executive,big-bazaar,1-7,"4,58,411",2.6,6.5
4078,Senior Accounts Executive,big-bazaar,5-11,"4,23,507",2.0,7.0
4079,Executive Export Documentation,big-bazaar,1-8,"3,29,412",1.5,6.0
4080,Customer Care Executive,honda,3-12,"6,54,735",3.9,10.0
4081,Executive Assistant,honda,1-6,"15,48,513",7.0,30.5
4082,Back Office Executive,honda,1-10,"3,13,360",2.0,4.5
4083,Documentation Executive,honda,3-11,"3,68,384",2.4,5.6
4084,Supervisor,honda,0-12,"3,27,411",1.8,5.0
4085,Business Development Executive,honda,1-7,"3,38,797",2.0,6.2
4086,Territory Sales Manager,honda,6-17,"5,02,173",3.1,7.5
4087,Key Accounts Executive,honda,10-17,"8,52,097",3.5,12.0
4088,Team Lead,honda,0-6,"2,93,862",1.4,4.6
4089,Sales Executive,honda,2-10,"2,73,802",1.5,4.2
4090,Area Sales Manager,kyndryl,0-5,"2,73,003",1.1,3.7
4091,Business Development Associate,kyndryl,0-5,"4,32,222",2.0,7.0
4092,Senior Territory Sales Manager,kyndryl,5-11,"2,65,980",1.6,3.6
4093,Operations Analyst,kyndryl,0-1,"2,40,004",1.6,4.1
4094,Key Account Manager,kyndryl,0-6,"2,88,715",1.4,4.4
4095,Network Engineer,kyndryl,0-6,"2,52,948",1.1,3.9
4096,System Engineer,kyndryl,1-4,"2,62,202",1.2,4.0
4097,Gnoc Engineer,kyndryl,3-9,"7,08,801",4.1,10.3
4098,Software Developer,kyndryl,1-5,"2,76,271",1.0,4.6
4099,Senior Network Engineer,kyndryl,0-3,"7,36,227",3.8,10.5
4100,NOC Engineer,gvk-emergency-management-and-research-institute,1-5,"5,70,813",3.6,8.2
4101,Senior Systems Engineer,gvk-emergency-management-and-research-institute,0-4,"3,65,951",2.0,6.0
4102,Security Engineer,gvk-emergency-management-and-research-institute,1-4,"2,81,213",,
4103,Senior Engineer,gvk-emergency-management-and-research-institute,6-15,"9,86,517",3.5,21.0
4104,Network Security Engineer,gvk-emergency-management-and-research-institute,0-9,"3,53,894",2.2,4.5
4105,Sales Manager,gvk-emergency-management-and-research-institute,1-10,"8,03,710",6.0,10.0
4106,Agency Manager,gvk-emergency-management-and-research-institute,0-5,"5,92,062",4.0,9.0
4107,Relationship Manager,gvk-emergency-management-and-research-institute,0-10,"6,37,683",3.0,11.4
4108,Senior Relationship Officer,gvk-emergency-management-and-research-institute,1-8,"4,18,682",1.2,8.5
4109,Relationship Officer,gvk-emergency-management-and-research-institute,5-13,"5,11,048",1.7,8.4
4110,Credit Manager,ninjacart,0-8,"3,64,568",2.0,7.1
4111,Branch Manager,ninjacart,3-10,"5,94,076",2.7,8.5
4112,Senior Sales Manager,ninjacart,1-6,"8,48,483",2.7,13.0
4113,Cluster Manager,ninjacart,1-5,"4,10,722",1.4,6.5
4114,Deputy Manager,ninjacart,1-9,"7,12,399",2.6,11.9
4115,Technical Lead,ninjacart,1-8,"5,43,903",2.0,8.1
4116,Senior Software Engineer,ninjacart,1-6,"7,45,831",3.0,14.0
4117,Senior Product Engineer,ninjacart,1-5,"5,35,485",2.2,8.5
4118,Software Engineer,ninjacart,5-11,"5,34,549",2.2,9.5
4119,Senior Engineer Product Development,ninjacart,2-8,"2,70,019",1.5,4.2
4120,Senior Engineer,adani-wilmar,3-10,"4,60,005",1.9,10.5
4121,Product Engineer,adani-wilmar,1-6,"2,75,285",2.0,4.0
4122,Lead Product Engineer,adani-wilmar,5-10,"2,61,383",2.0,3.7
4123,Associate Engineer,adani-wilmar,2-8,"6,84,199",4.0,12.0
4124,Associate Product Engineer,adani-wilmar,2-10,"8,27,844",5.0,12.3
4125,Staff Nurse,adani-wilmar,0-6,"6,14,280",3.0,11.5
4126,Deputy Manager,adani-wilmar,0-8,"8,11,598",5.0,12.0
4127,Junior Executive,adani-wilmar,0-6,"6,93,140",3.8,10.6
4128,Pharmacist,adani-wilmar,0-6,"20,60,845",7.3,33.0
4129,Hospital Pharmacist,adani-wilmar,0-10,"13,76,041",4.6,24.0
4130,System Engineer,lucas-tvs,2-15,"11,74,656",4.8,24.0
4131,Clinical Engineer,lucas-tvs,2-11,"7,64,320",2.8,15.7
4132,Dialysis Technician,lucas-tvs,4-9,"14,54,976",4.9,25.0
4133,Physician Assistant,lucas-tvs,2-8,"13,34,116",4.6,21.5
4134,Lab Technician,lucas-tvs,6-14,"6,26,391",3.1,10.0
4135,Deputy Manager,lucas-tvs,3-9,"18,24,690",7.6,27.0
4136,Senior Software Engineer,lucas-tvs,3-9,"5,16,432",2.5,7.0
4137,Software Technologist 1,lucas-tvs,1-5,"3,18,288",2.4,5.0
4138,Senior Accounting Specialist,lucas-tvs,3-7,"2,52,703",,
4139,Sales Executive,lucas-tvs,3-8,"6,89,957",3.6,10.5
4140,Software Technologist 2,power-mech-projects,2-5,"2,25,563",1.3,3.0
4141,Technical Specialist,power-mech-projects,7-13,"2,78,914",1.6,3.7
4142,Software Engineer,power-mech-projects,0-1,"2,67,054",1.3,4.1
4143,Software Technologist,power-mech-projects,0-3,"3,67,983",2.3,4.9
4144,Project Manager,power-mech-projects,0-4,"3,15,702",2.0,4.2
4145,Project Engineer,power-mech-projects,1-15,"2,31,642",1.2,3.5
4146,System Engineer,power-mech-projects,0-6,"4,67,271",2.0,8.4
4147,Service Engineer,power-mech-projects,1-6,"2,58,638",1.2,3.6
4148,Senior Engineer,power-mech-projects,0-4,"14,48,252",7.1,21.0
4149,Field Service Engineer,power-mech-projects,1-5,"14,50,808",6.2,20.0
4150,Software Engineer,upgrad,2-6,"21,89,671",10.0,29.2
4151,Project Lead,upgrad,0-5,"11,40,852",5.4,16.3
4152,Applications Engineer,upgrad,0-6,"3,70,881",1.0,9.1
4153,BMS Engineer,upgrad,1-8,"24,99,352",14.0,29.5
4154,Senior Project Engineer,upgrad,6-16,"17,22,317",8.1,22.5
4155,Sales Manager,upgrad,3-9,"9,46,410",4.0,15.2
4156,Associate Sales Manager,upgrad,4-9,"21,85,091",10.5,30.0
4157,Cluster Manager,upgrad,5-12,"22,79,793",8.0,42.1
4158,Smart Distribution Officer,upgrad,2-8,"5,43,775",1.8,12.2
4159,Business Manager,upgrad,8-12,"7,35,067",4.2,9.5
4160,Support Officer,cams,6-11,"3,54,021",1.2,6.0
4161,Operations Executive,cams,1-5,"11,89,490",6.0,20.0
4162,Customer Support Officer,cams,7-10,"5,48,906",1.5,9.0
4163,Sales Support Officer,cams,8-16,"7,00,690",2.9,17.0
4164,Branch Manager,cams,2-10,"15,30,949",4.5,27.0
4165,Research Associate,cams,2-10,"6,82,396",2.1,13.5
4166,Senior Research Associate,cams,2-10,"3,03,297",1.1,6.5
4167,Associate Scientist,cams,8-13,"10,68,756",4.8,18.8
4168,Deputy Manager,cams,2-9,"4,84,176",1.9,8.2
4169,Scientific Manager,cams,1-5,"3,63,815",2.1,5.6
4170,Junior Research Associate,parle-products,8-16,"11,28,054",4.9,17.5
4171,Analytical Research Associate,parle-products,2-7,"2,73,964",1.5,4.0
4172,Senior Scientific Manager,parle-products,1-8,"8,03,137",3.2,11.5
4173,Associate Director,parle-products,6-12,"2,25,172",1.3,3.2
4174,Executive Production,parle-products,0-13,"2,32,684",1.1,3.2
4175,Sales Executive,parle-products,0-9,"2,42,894",1.1,3.5
4176,Collections Manager,parle-products,9-19,"2,37,920",1.2,3.0
4177,Operations Executive,parle-products,0-8,"10,37,942",6.3,15.0
4178,Territory Manager,parle-products,4-15,"3,94,927",1.8,6.0
4179,Collections Executive,parle-products,0-6,"6,46,824",3.5,8.6
4180,Finance Executive,sap,0-6,"8,68,973",5.6,11.5
4181,Sales Manager,sap,1-7,"8,31,627",5.3,11.5
4182,Senior Associate,sap,0-5,"12,99,678",7.5,14.8
4183,Relationship Manager,sap,9-18,"2,75,627",1.5,4.0
4184,Credit Analyst,sap,0-5,"3,38,554",2.3,4.7
4185,Senior Software Engineer,sap,3-9,"16,70,023",12.5,19.6
4186,Lead Engineer,sap,1-13,"32,98,438",27.0,40.0
4187,Software Engineer,sap,8-13,"4,21,438",2.6,4.6
4188,Senior Engineer,sap,6-17,"1,88,843",,
4189,Design Engineer,sap,0-3,"6,30,540",2.5,9.5
4190,Technical Lead,rmsi,1-4,"2,66,604",1.3,4.2
4191,Senior Design Engineer,rmsi,9-17,"6,43,468",3.3,11.1
4192,Project Lead,rmsi,11-22,"2,26,773",,
4193,Software Developer,rmsi,3-7,"2,09,757",,
4194,Engineer Trainee,rmsi,0-8,"6,60,747",2.4,12.5
4195,Inspection Engineer,rmsi,4-16,"23,90,975",4.0,33.6
4196,Chemist,rmsi,2-9,"3,90,821",2.0,7.7
4197,QC Chemist,rmsi,4-17,"4,31,040",2.4,6.2
4198,Senior Inspection Engineer,rmsi,0-6,"10,15,486",3.6,21.0
4199,Senior Chemist,rmsi,0-8,"13,61,715",6.0,23.0
4200,Quality Inspector,tvs-sundram-fasteners,4-11,"5,58,196",2.7,13.5
4201,Quality Engineer,tvs-sundram-fasteners,5-15,"9,78,287",3.4,18.0
4202,Junior Executive,tvs-sundram-fasteners,2-10,"5,35,633",2.1,8.1
4203,Field Engineer,tvs-sundram-fasteners,2-7,"17,68,678",6.8,27.0
4204,Senior Engineer,tvs-sundram-fasteners,2-8,"7,95,534",3.5,11.0
4205,Senior Engineer,tvs-sundram-fasteners,5-16,"15,63,885",8.0,25.5
4206,Deputy Manager,tvs-sundram-fasteners,0-5,"5,99,051",2.2,13.0
4207,Trainee,tvs-sundram-fasteners,3-12,"3,12,689",2.1,4.4
4208,Sales Executive,tvs-sundram-fasteners,1-7,"4,74,193",1.1,10.2
4209,Sales Manager,tvs-sundram-fasteners,7-15,"3,75,135",1.5,7.8
4210,Quality Engineer,exide-life-insurance,4-11,"3,53,096",1.5,6.4
4211,Operator,exide-life-insurance,8-16,"6,50,816",3.4,11.0
4212,Junior Engineer,exide-life-insurance,1-4,"4,70,048",2.0,8.2
4213,Production Engineer,exide-life-insurance,0-2,"3,23,078",1.5,6.0
4214,Team Lead,exide-life-insurance,0-13,"3,61,062",2.0,5.9
4215,Spatial Data Specialist 2,exide-life-insurance,0-9,"3,58,738",1.1,6.3
4216,Spatial Data Specialist,exide-life-insurance,0-9,"2,86,642",1.5,5.0
4217,GIS Analyst,exide-life-insurance,5-20,"5,82,572",3.2,10.5
4218,Spatial Data Specialist 1,exide-life-insurance,3-10,"9,47,236",5.2,14.0
4219,Senior Spatial Data Specialist,exide-life-insurance,1-6,"14,87,336",9.0,18.0
4220,GIS Analyst II,valuelabs,1-8,"2,06,680",,
4221,Data Specialist,valuelabs,1-8,"2,00,079",,
4222,GIS Analyst 1,valuelabs,1-7,"3,32,010",,
4223,Senior Software Engineer,valuelabs,4-13,"4,13,323",1.0,9.0
4224,Project Lead,valuelabs,6-13,"1,83,033",,
4225,Project Manager,valuelabs,10-18,"3,36,606",1.5,5.4
4226,Financial Analyst,valuelabs,1-5,"3,24,745",,
4227,Associate Engineer,valuelabs,0-5,"3,79,653",1.4,15.0
4228,Service Reliability Engineer,valuelabs,0-8,"3,49,108",2.5,4.7
4229,Network Engineer,valuelabs,1-11,"2,72,696",1.0,4.1
4230,SME,uflex,0-6,"2,71,122",2.0,4.1
4231,Finance Manager,uflex,1-8,"2,60,153",1.8,3.8
4232,Service Request Coordinator,uflex,1-10,"5,81,516",3.7,7.5
4233,Project Coordinator,uflex,3-11,"3,55,509",2.6,4.6
4234,Senior Financial Analyst,uflex,3-7,"2,62,762",1.8,4.0
4235,Associate Consultant,uflex,0-6,"2,48,531",1.8,3.3
4236,Team Lead,uflex,1-5,"23,16,262",10.0,31.0
4237,Product Engineer,uflex,0-5,"12,46,478",8.7,17.0
4238,Senior Project Leader,uflex,5-10,"16,50,710",5.6,35.0
4239,Software Developer,uflex,3-6,"15,88,880",4.3,22.5
4240,Software Engineer,canara-hsbc-life-insurance,0-5,"4,35,735",3.0,6.0
4241,Project Engineer,canara-hsbc-life-insurance,0-4,"6,44,572",3.1,11.0
4242,Java Developer,canara-hsbc-life-insurance,4-9,"5,31,783",2.5,9.0
4243,System Engineer,canara-hsbc-life-insurance,10-16,"4,59,294",2.8,7.5
4244,Project Manager,canara-hsbc-life-insurance,8-19,"28,32,439",15.7,35.0
4245,Research Analyst,canara-hsbc-life-insurance,3-12,"4,60,464",3.0,6.5
4246,Senior Research Analyst,canara-hsbc-life-insurance,0-4,"5,33,275",3.4,8.7
4247,Analyst,canara-hsbc-life-insurance,3-8,"20,19,046",8.8,25.5
4248,Lead Analyst,canara-hsbc-life-insurance,1-7,"6,46,149",1.5,12.2
4249,Credit Analyst,canara-hsbc-life-insurance,3-8,"13,71,210",5.3,22.5
4250,Senior Associate,phn-technology,8-15,"7,95,123",2.0,15.4
4251,Senior Credit Analyst,phn-technology,3-7,"17,54,801",7.2,26.0
4252,Associate Director,phn-technology,3-9,"6,72,433",2.2,18.0
4253,Business Development Officer,phn-technology,5-13,"7,54,043",2.1,18.0
4254,Senior Analyst,phn-technology,0-5,"5,34,190",3.0,6.5
4255,Project Manager,phn-technology,4-11,"7,22,943",2.7,13.0
4256,Junior Executive,phn-technology,0-7,"4,45,868",2.0,7.5
4257,Production Editor,phn-technology,6-15,"19,82,263",10.3,29.0
4258,Data Analyst,phn-technology,0-5,"9,34,790",3.0,17.5
4259,SME,phn-technology,1-6,"13,90,634",6.0,26.0
4260,Copy Editor,motilal-oswal-financial-services,0-3,"6,68,898",2.0,15.8
4261,Graphic Designer,motilal-oswal-financial-services,1-5,"22,70,075",10.0,34.0
4262,Quality Analyst,motilal-oswal-financial-services,1-2,"10,54,533",5.2,16.7
4263,Quality Controller,motilal-oswal-financial-services,9-16,"5,70,854",2.0,9.0
4264,Software Developer,motilal-oswal-financial-services,0-8,"14,43,461",8.0,21.5
4265,Senior Analyst,motilal-oswal-financial-services,2-10,"36,65,137",20.0,55.0
4266,Analyst,motilal-oswal-financial-services,0-7,"3,58,573",2.0,5.3
4267,Senior Financial Analyst,motilal-oswal-financial-services,6-12,"13,55,393",5.0,28.5
4268,Business Analyst,motilal-oswal-financial-services,1-5,"3,66,733",,
4269,Territory Business Executive,motilal-oswal-financial-services,0-6,"2,38,720",,
4270,Medical Representative,cisco,2-8,"3,83,395",1.5,6.5
4271,Senior Territory Business Executive,cisco,9-18,"2,34,075",1.0,5.0
4272,Regional Business Manager,cisco,0-7,"3,22,686",2.0,5.0
4273,Data Analyst,cisco,4-9,"2,74,408",,
4274,Financial Analyst,cisco,0-10,"2,68,244",1.0,4.5
4275,Diploma Trainee Engineer,cisco,0-4,"3,63,767",1.5,7.0
4276,Assistant Engineer,cisco,0-12,"2,63,582",1.1,5.0
4277,Quality Engineer,cisco,0-4,"4,91,739",1.7,8.4
4278,Diploma Mechanical Engineer,cisco,0-6,"16,15,128",8.0,22.2
4279,Production Engineer,cisco,0-10,"11,37,534",5.8,15.3
4280,Senior Engineer,jindal-stainless,1-8,"14,41,726",7.0,19.8
4281,Deputy Manager,jindal-stainless,0-5,"11,66,474",6.4,15.1
4282,Engineer Trainee,jindal-stainless,1-11,"7,79,020",4.5,9.6
4283,Trainee,jindal-stainless,1-6,"5,64,036",,
4284,Quality Inspector,jindal-stainless,3-9,"9,18,257",5.5,11.6
4285,Team Lead,jindal-stainless,0-6,"17,13,631",9.5,30.0
4286,Process Associate,jindal-stainless,4-9,"10,53,156",5.0,15.0
4287,Team Lead Operations,jindal-stainless,1-5,"8,54,932",3.5,12.0
4288,Channel Team Lead,jindal-stainless,6-12,"1,97,743",1.1,3.1
4289,Supervisor,jindal-stainless,1-13,"2,60,656",1.6,4.0
4290,Operations Manager,unacademy,6-14,"2,40,023",1.2,4.0
4291,Station Support Associate,unacademy,11-20,"1,89,456",1.1,3.2
4292,Station Supervisor,unacademy,1-6,"2,47,053",1.2,4.8
4293,Delivery Boy,unacademy,3-8,"6,18,862",3.6,8.0
4294,Station Manager,unacademy,0-4,"8,61,957",5.1,11.5
4295,Senior Engineer,unacademy,2-6,"1,91,865",1.5,2.5
4296,Senior Administrator,unacademy,0-5,"1,87,656",1.1,2.5
4297,System Administrator,unacademy,0-4,"1,70,115",1.1,2.5
4298,SME,unacademy,1-7,"5,87,944",3.0,9.0
4299,Devops Engineer,unacademy,5-14,"2,70,344",1.0,4.1
4300,Network Engineer,tata-capital-financial-services,8-19,"6,35,077",3.0,8.5
4301,Backup Administrator,tata-capital-financial-services,0-3,"7,94,804",4.5,11.3
4302,Sme Associate,tata-capital-financial-services,1-3,"2,87,095",1.5,5.0
4303,Service Engineer,tata-capital-financial-services,0-3,"17,02,528",7.6,36.0
4304,Technical Support Engineer,tata-capital-financial-services,0-11,"2,44,718",,
4305,Customer Care Executive,tata-capital-financial-services,0-8,"3,60,434",2.1,4.6
4306,Quality Analyst,tata-capital-financial-services,1-11,"1,31,648",,
4307,Senior Customer Service Executive,tata-capital-financial-services,3-12,"12,42,858",1.3,20.7
4308,Team Lead,tata-capital-financial-services,2-8,"3,32,291",2.3,4.6
4309,Customer Support Executive,tata-capital-financial-services,6-12,"7,10,679",2.2,15.0
4310,Quality Verifier,citicorp,1-5,"4,52,990",2.1,8.0
4311,Senior Officer,citicorp,2-9,"15,21,276",7.8,20.0
4312,Customer Support Officer,citicorp,1-6,"5,84,585",3.0,12.5
4313,Customer Service Executive,citicorp,4-13,"4,06,974",2.2,6.0
4314,Sales Executive,citicorp,0-7,"5,38,353",2.8,8.0
4315,Cashier,citicorp,3-8,"13,38,102",5.4,17.0
4316,Engineer- Customer Support,citicorp,2-7,"3,30,310",2.4,4.0
4317,ATM Custodian,citicorp,6-11,"3,21,818",1.6,5.5
4318,MIS Executive,citicorp,2-5,"2,15,011",,
4319,Cash Officer,citicorp,1-6,"2,53,100",1.3,4.0
4320,Custodian,wockhardt,2-5,"2,62,505",1.0,4.0
4321,Desktop Support Engineer,wockhardt,5-10,"4,07,128",,
4322,Operations Executive,wockhardt,0-2,"2,42,309",1.0,4.0
4323,FMS Engineer,wockhardt,0-4,"2,10,939",1.0,3.3
4324,HR Executive,wockhardt,0-4,"4,32,137",2.8,7.0
4325,Key Account Manager,wockhardt,1-7,"2,30,056",1.0,3.6
4326,City Manager,wockhardt,0-5,"2,24,722",1.0,4.0
4327,Business Development Manager,wockhardt,1-9,"2,14,420",1.3,3.7
4328,Team Lead,wockhardt,0-4,"2,11,773",,
4329,Sales Officer,wockhardt,0-4,"2,48,189",,
4330,Business Analyst,renault-nissan-technology-&-business-centre-india,3-8,"2,26,427",,
4331,Senior Key Account Manager,renault-nissan-technology-&-business-centre-india,0-3,"2,21,528",1.0,3.2
4332,Catalog Associate,renault-nissan-technology-&-business-centre-india,0-5,"1,81,082",,
4333,Business Development Executive,renault-nissan-technology-&-business-centre-india,0-3,"2,08,321",1.0,3.2
4334,Senior Business Analyst,renault-nissan-technology-&-business-centre-india,0-9,"2,19,620",1.1,3.8
4335,Operations Executive,renault-nissan-technology-&-business-centre-india,1-10,"2,15,094",1.1,3.3
4336,Business Development Manager,renault-nissan-technology-&-business-centre-india,1-5,"1,24,862",,
4337,Area Manager,renault-nissan-technology-&-business-centre-india,0-6,"2,67,346",1.2,4.1
4338,Key Account Manager,renault-nissan-technology-&-business-centre-india,0-9,"4,90,911",2.2,6.5
4339,Operation Assistant,renault-nissan-technology-&-business-centre-india,0-6,"7,11,525",4.1,10.4
4340,Senior Executive Operations,aecom,0-6,"5,11,358",3.5,7.5
4341,Logistics Executive,aecom,0-8,"5,67,461",2.9,9.0
4342,Finance Executive,aecom,1-5,"2,85,461",2.0,4.0
4343,Business Development Executive,aecom,1-6,"16,00,253",6.0,23.0
4344,Supervisor,aecom,0-9,"6,55,075",4.2,9.5
4345,Territory Sales Incharge,aecom,4-11,"2,49,515",2.0,3.5
4346,Area Sales Executive,aecom,2-8,"4,72,988",2.6,6.0
4347,Senior Territory Sales Incharge,aecom,2-8,"21,35,605",12.0,26.0
4348,Sales Executive,aecom,0-6,"2,69,215",1.0,4.5
4349,Finance Executive,aecom,0-4,"4,24,870",1.7,6.5
4350,Area Sales Manager,nobroker,2-8,"8,53,838",4.3,15.0
4351,Senior Officer,nobroker,0-3,"4,46,013",2.2,5.5
4352,Medical Executive,nobroker,0-8,"1,72,304",,
4353,Officer,nobroker,3-5,"4,20,348",1.8,7.5
4354,Production Officer,nobroker,0-8,"2,36,252",1.0,5.3
4355,Team Lead,nobroker,1-8,"2,90,107",1.5,4.1
4356,Customer Consultant,nobroker,7-16,"3,25,877",2.1,4.6
4357,Department Manager,nobroker,1-8,"2,15,875",,
4358,Assistant Team Leader,nobroker,0-3,"8,67,032",4.8,12.0
4359,Key Account Manager,nobroker,3-8,"15,77,736",9.0,18.8
4360,Senior Associate,idbi-bank,1-7,"12,07,746",7.7,15.4
4361,Cashier,idbi-bank,0-7,"2,85,766",,
4362,Sales Executive,idbi-bank,1-8,"9,53,827",2.0,16.2
4363,Senior Team Leader,idbi-bank,0-8,"25,29,376",13.0,33.0
4364,Key Accounts Executive,idbi-bank,1-10,"7,10,893",4.7,10.5
4365,Officer,idbi-bank,7-15,"6,27,986",3.9,8.4
4366,Deputy Manager,idbi-bank,5-13,"5,26,658",3.0,7.0
4367,Senior Officer,idbi-bank,1-12,"5,78,414",3.9,8.3
4368,Junior Executive,idbi-bank,1-10,"4,03,283",2.1,5.7
4369,Executive Production,idbi-bank,3-12,"3,76,882",2.0,5.0
4370,Assistant General Manager,fincare-small-finance-bank,6-12,"6,65,450",2.7,10.5
4371,Territory Manager,fincare-small-finance-bank,5-10,"2,75,063",1.6,3.6
4372,Medical Representative,fincare-small-finance-bank,3-10,"5,74,744",3.0,10.0
4373,Executive Engineer,fincare-small-finance-bank,2-8,"2,09,254",,
4374,Junior Officer,fincare-small-finance-bank,4-12,"1,94,652",,
4375,Business Development Associate,fincare-small-finance-bank,0-7,"2,55,652",1.1,4.9
4376,Business Development Manager,fincare-small-finance-bank,5-15,"4,98,711",3.5,6.1
4377,Associate Recruiter,fincare-small-finance-bank,2-6,"4,52,349",3.1,6.3
4378,BDA,fincare-small-finance-bank,2-12,"3,20,697",1.6,5.3
4379,HR Recruiter,fincare-small-finance-bank,1-9,"10,93,893",6.4,15.0
4380,Business Development Executive,axa-business-services,0-5,"4,65,084",2.5,6.5
4381,Training and Business Development Manager,axa-business-services,0-5,"3,42,534",1.4,5.6
4382,Technical Recruiter,axa-business-services,2-12,"3,70,904",2.0,6.5
4383,Business Associate,axa-business-services,0-8,"24,57,125",15.6,31.5
4384,Senior Software Engineer,axa-business-services,1-7,"3,02,413",1.6,4.8
4385,Software Engineer,axa-business-services,10-15,"3,34,375",2.0,5.2
4386,Associate Consultant,axa-business-services,4-10,"4,28,164",3.0,5.5
4387,Module Lead,axa-business-services,0-9,"1,87,197",1.5,2.3
4388,SAP Fico Consultant,axa-business-services,1-6,"4,82,542",2.2,10.3
4389,Senior Consultant,axa-business-services,14-20,"7,49,799",6.0,15.0
4390,Software Developer,laurus-labs,0-8,"3,17,248",1.6,6.0
4391,Technical Lead,laurus-labs,1-9,"4,15,474",3.0,6.0
4392,SAP SD Consultant,laurus-labs,4-7,"3,91,667",2.5,6.0
4393,SAP Abap Consultant,laurus-labs,0-3,"5,15,500",3.0,7.0
4394,Relationship Manager,laurus-labs,0-5,"4,47,333",3.0,5.5
4395,Business Development Manager,laurus-labs,2-5,"4,54,000",3.0,6.1
4396,Senior Business Development Manager,laurus-labs,0-1,"2,83,333",2.5,3.0
4397,Customer Service Executive,laurus-labs,0-4,"3,66,800",3.0,6.1
4398,Deputy Manager,laurus-labs,0-4,"13,38,898",4.3,24.0
4399,Executive Assistant,laurus-labs,1-2,"7,05,821",2.3,15.0
4400,Cluster Sales Manager,ba-continuum,0-5,"5,91,198",2.0,12.0
4401,Territory Sales Manager,ba-continuum,0-3,"18,15,674",7.1,28.0
4402,Operations Executive,ba-continuum,0-7,"6,51,742",3.0,13.5
4403,Sales Executive,ba-continuum,0-7,"18,61,553",7.1,29.0
4404,Senior Engineer,ba-continuum,3-9,"6,42,553",2.4,14.0
4405,Civil Engineer,ba-continuum,1-5,"21,96,537",9.4,31.1
4406,Assistant General Manager,ba-continuum,1-6,"8,46,356",3.8,14.4
4407,Civil Site Engineer,ba-continuum,5-11,"6,20,392",2.3,16.5
4408,Site Engineer,ba-continuum,2-7,"3,44,797",1.5,8.0
4409,Manager Civil,ba-continuum,7-14,"3,41,211",1.6,5.3
4410,Associate Designer,star-health-&-allied-insurance,1-5,"5,06,779",3.0,7.2
4411,Senior Design Engineer,star-health-&-allied-insurance,8-14,"2,89,037",1.6,4.0
4412,Design Engineer,star-health-&-allied-insurance,3-7,"6,15,681",3.7,13.5
4413,Software Engineer,star-health-&-allied-insurance,1-5,"2,75,748",1.5,3.6
4414,Senior Software Engineer,star-health-&-allied-insurance,0-9,"8,27,701",4.2,16.9
4415,IT Analyst,star-health-&-allied-insurance,0-10,"7,39,043",4.4,11.5
4416,Software Developer,star-health-&-allied-insurance,2-12,"3,25,782",2.1,4.7
4417,Software Engineer II,star-health-&-allied-insurance,0-6,"2,48,896",1.5,4.0
4418,Engineer- Customer Support,star-health-&-allied-insurance,4-14,"5,87,023",3.8,9.0
4419,Network Engineer,star-health-&-allied-insurance,2-7,"4,61,671",2.7,8.0
4420,Customer Engineer,xl-dynamics,7-16,"20,00,226",10.3,26.0
4421,Quality Engineer,xl-dynamics,6-15,"4,29,326",2.8,6.0
4422,Software Engineer III,xl-dynamics,4-8,"4,38,398",3.2,6.0
4423,Team Manager,xl-dynamics,1-6,"10,39,073",7.3,15.0
4424,SAP Abap Consultant,xl-dynamics,1-9,"2,56,382",2.0,4.7
4425,Senior Software Engineer,xl-dynamics,1-9,"4,50,000",4.5,4.5
4426,Team Lead,xl-dynamics,14-20,"5,87,782",3.9,9.5
4427,Abacus Teacher,xl-dynamics,2-7,"6,08,143",2.4,11.3
4428,Senior Associate,xl-dynamics,2-6,"12,74,597",3.0,21.0
4429,District Manager,xl-dynamics,6-14,"19,75,126",5.5,32.0
4430,HR Executive,bank-of-baroda,1-3,"10,96,430",3.0,18.0
4431,SE,bank-of-baroda,0-2,"10,86,138",4.5,19.5
4432,Senior Consultant,bank-of-baroda,1-13,"15,33,519",8.0,18.7
4433,Senior Associate,bank-of-baroda,1-13,"3,43,910",1.2,4.8
4434,Lead Assistant Manager,bank-of-baroda,0-8,"3,51,790",2.0,7.5
4435,Business Analyst,bank-of-baroda,5-12,"3,46,932",1.5,4.2
4436,Senior Business Analyst,bank-of-baroda,2-9,"3,61,276",1.0,10.2
4437,Process Associate,bank-of-baroda,2-5,"23,70,814",12.0,30.0
4438,Customer Care Executive,bank-of-baroda,2-7,"22,72,692",8.5,46.9
4439,Analyst,bank-of-baroda,3-10,"21,63,992",6.3,45.0
4440,Senior Accounts Executive,hindustan-aeronautics,1-6,"24,08,980",12.0,40.0
4441,Senior Consultant,hindustan-aeronautics,3-8,"23,50,033",9.0,41.9
4442,Reporting Analyst,hindustan-aeronautics,0-6,"19,07,531",5.0,41.5
4443,Senior Research Associate,hindustan-aeronautics,7-12,"20,09,182",7.5,35.0
